-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 03/08/2019 through 11/08/2020 in LST
Location: Latitude  51.0662   Longitude -114.0936 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1289.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/hour) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (Wh/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (Wh/m^2) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,T2MDEW,T2MWET,RH2M,PRECTOTCORR,WS10M,WD10M,CLOUD_AMT,ALLSKY_KT,ALLSKY_SRF_ALB,PS,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,QV2M,SZA,ALLSKY_SFC_UVA
2019,3,8,20,0.0,0.0,0.0,0.0,-11.05,-12.61,-11.83,91.76,0.58,3.04,277.4,95.23,-999.0,-999.0,86.12,0.0,0.0,1.57,90.0,0.0
2019,3,8,21,0.0,0.0,0.0,0.0,-11.25,-12.85,-12.05,91.08,0.36,3.1,279.3,98.06,-999.0,-999.0,86.16,0.0,0.0,1.53,90.0,0.0
2019,3,8,22,0.0,0.0,0.0,0.0,-11.91,-13.48,-12.69,91.0,0.04,3.07,280.3,94.03,-999.0,-999.0,86.19,0.0,0.0,1.44,90.0,0.0
2019,3,8,23,0.0,0.0,0.0,0.0,-12.61,-14.22,-13.41,90.24,0.03,3.24,275.5,96.07,-999.0,-999.0,86.21,0.0,0.0,1.34,90.0,0.0
2019,3,9,0,0.0,0.0,0.0,0.0,-12.95,-14.63,-13.79,89.62,0.02,3.31,271.0,98.77,-999.0,-999.0,86.24,0.0,0.0,1.29,90.0,0.0
2019,3,9,1,0.0,0.0,0.0,0.0,-13.11,-14.88,-13.99,88.12,0.01,3.42,268.0,94.96,-999.0,-999.0,86.24,0.0,0.0,1.25,90.0,0.0
2019,3,9,2,0.0,0.0,0.0,0.0,-13.08,-14.97,-14.02,87.16,0.0,3.41,269.0,91.05,-999.0,-999.0,86.22,0.0,0.0,1.24,90.0,0.0
2019,3,9,3,0.0,0.0,0.0,0.0,-12.98,-14.97,-13.97,87.08,0.0,3.29,274.2,94.43,-999.0,-999.0,86.23,0.0,0.0,1.25,90.0,0.0
2019,3,9,4,0.0,0.0,0.0,0.0,-12.67,-14.75,-13.71,86.05,0.0,3.04,282.3,87.03,-999.0,-999.0,86.26,0.0,0.0,1.27,90.0,0.0
2019,3,9,5,0.0,0.0,0.0,0.0,-12.49,-14.64,-13.57,86.02,0.0,2.89,290.0,76.93,-999.0,-999.0,86.3,0.0,0.0,1.29,90.0,0.0
2019,3,9,6,20.9,31.33,148.93,17.08,-12.16,-14.45,-13.3,84.83,0.0,2.82,296.3,68.12,0.34,0.46,86.35,7.9,10.2,1.31,87.42,1.12
2019,3,9,7,146.5,190.32,448.13,72.75,-9.62,-12.37,-10.99,82.59,0.0,2.76,299.5,55.32,0.55,0.43,86.39,62.13,77.1,1.6,78.77,7.58
2019,3,9,8,311.1,357.58,600.38,122.74,-6.63,-9.8,-8.21,79.87,0.0,2.91,300.6,47.71,0.68,0.46,86.42,134.73,150.85,2.01,70.6,17.54
2019,3,9,9,452.38,497.8,717.62,158.04,-4.43,-7.98,-6.2,77.32,0.0,2.61,318.3,40.22,0.74,0.49,86.44,197.91,212.52,2.35,63.71,27.42
2019,3,9,10,566.38,596.4,834.73,144.93,-3.04,-6.67,-4.85,76.64,0.0,2.68,332.0,30.19,0.79,0.5,86.46,246.95,255.79,2.62,58.71,35.54
2019,3,9,11,609.75,641.5,821.87,170.79,-2.27,-6.04,-4.15,75.67,0.02,2.6,330.3,30.66,0.79,0.46,86.46,266.13,275.3,2.76,56.2,38.25
2019,3,9,12,579.2,634.35,892.01,98.76,-1.78,-5.76,-3.77,74.44,0.04,2.48,324.5,20.56,0.76,0.46,86.43,254.9,272.55,2.83,56.55,36.52
2019,3,9,13,541.67,574.95,717.21,196.52,-1.49,-5.62,-3.55,73.42,0.08,2.26,323.1,42.67,0.78,0.48,86.4,237.27,247.3,2.86,59.7,33.68
2019,3,9,14,420.02,465.58,713.89,129.85,-1.58,-5.44,-3.51,75.01,0.07,1.91,333.8,38.16,0.73,0.47,86.41,184.23,199.88,2.9,65.2,25.21
2019,3,9,15,285.77,317.88,700.88,85.62,-2.07,-4.82,-3.45,82.19,0.09,1.3,2.2,32.9,0.69,0.44,86.43,123.52,134.95,3.05,72.44,15.53
2019,3,9,16,125.57,147.95,462.94,46.41,-3.33,-5.03,-4.18,89.92,0.2,0.98,42.5,33.95,0.57,0.42,86.47,52.25,60.1,3.0,80.83,6.01
2019,3,9,17,10.95,12.85,94.56,9.0,-5.26,-7.07,-6.17,89.43,0.32,1.02,71.0,33.67,0.37,0.45,86.52,3.71,4.07,2.53,88.78,0.54
2019,3,9,18,0.0,0.0,0.0,0.0,-6.3,-7.85,-7.07,91.67,0.35,0.98,107.1,30.4,-999.0,-999.0,86.57,0.0,0.0,2.37,90.0,0.0
2019,3,9,19,0.0,0.0,0.0,0.0,-7.04,-8.35,-7.69,93.65,0.16,1.0,161.4,28.31,-999.0,-999.0,86.6,0.0,0.0,2.27,90.0,0.0
2019,3,9,20,0.0,0.0,0.0,0.0,-7.89,-9.08,-8.49,95.08,0.05,1.51,211.2,32.66,-999.0,-999.0,86.6,0.0,0.0,2.14,90.0,0.0
2019,3,9,21,0.0,0.0,0.0,0.0,-9.51,-10.39,-9.95,97.86,0.03,2.28,235.9,30.95,-999.0,-999.0,86.6,0.0,0.0,1.91,90.0,0.0
2019,3,9,22,0.0,0.0,0.0,0.0,-11.36,-11.95,-11.65,99.7,0.22,2.95,250.8,33.09,-999.0,-999.0,86.6,0.0,0.0,1.65,90.0,0.0
2019,3,9,23,0.0,0.0,0.0,0.0,-12.71,-13.3,-13.01,98.96,0.13,3.28,261.1,35.24,-999.0,-999.0,86.59,0.0,0.0,1.45,90.0,0.0
2019,3,10,0,0.0,0.0,0.0,0.0,-12.63,-13.66,-13.14,94.86,0.04,3.41,267.8,39.04,-999.0,-999.0,86.59,0.0,0.0,1.4,90.0,0.0
2019,3,10,1,0.0,0.0,0.0,0.0,-12.21,-13.76,-12.99,90.68,0.01,3.74,272.3,24.91,-999.0,-999.0,86.6,0.0,0.0,1.39,90.0,0.0
2019,3,10,2,0.0,0.0,0.0,0.0,-12.11,-13.87,-12.99,89.23,0.01,3.87,272.7,39.05,-999.0,-999.0,86.61,0.0,0.0,1.38,90.0,0.0
2019,3,10,3,0.0,0.0,0.0,0.0,-12.09,-13.92,-13.01,88.44,0.0,3.97,272.5,27.44,-999.0,-999.0,86.63,0.0,0.0,1.37,90.0,0.0
2019,3,10,4,0.0,0.0,0.0,0.0,-12.19,-13.97,-13.08,88.61,0.0,3.98,272.0,39.47,-999.0,-999.0,86.65,0.0,0.0,1.36,90.0,0.0
2019,3,10,5,0.0,0.0,0.0,0.0,-12.24,-13.86,-13.05,90.33,0.0,4.0,270.6,34.54,-999.0,-999.0,86.65,0.0,0.0,1.38,90.0,0.0
2019,3,10,6,29.38,33.25,204.38,20.41,-11.88,-13.54,-12.71,89.99,0.0,4.06,268.6,28.28,0.43,0.45,86.67,10.5,11.35,1.42,87.16,1.37
2019,3,10,7,177.65,192.3,597.02,57.38,-9.27,-11.44,-10.36,86.88,0.0,4.05,266.6,19.45,0.64,0.42,86.69,73.05,78.02,1.73,78.42,8.41
2019,3,10,8,334.62,357.65,796.36,75.78,-6.04,-8.6,-7.32,84.12,0.0,3.99,265.0,16.37,0.72,0.4,86.72,142.75,150.64,2.22,70.23,17.85
2019,3,10,9,479.35,497.65,883.5,84.4,-2.99,-5.79,-4.39,82.1,0.0,3.45,264.2,10.31,0.77,0.44,86.73,207.1,212.47,2.81,63.33,27.9
2019,3,10,10,591.62,596.62,973.48,82.84,-0.76,-4.32,-2.54,76.86,0.0,3.18,265.0,3.36,0.82,0.45,86.73,255.65,255.44,3.17,58.32,35.78
2019,3,10,11,636.4,643.67,1010.24,79.36,0.32,-3.75,-1.71,73.84,0.0,2.88,265.2,4.54,0.82,0.46,86.72,276.2,276.4,3.32,55.81,39.32
2019,3,10,12,628.78,636.62,984.58,86.55,0.79,-4.09,-1.65,69.42,0.0,2.97,264.8,3.83,0.82,0.47,86.68,273.1,273.55,3.23,56.17,38.87
2019,3,10,13,566.22,575.6,988.4,69.87,1.05,-4.43,-1.69,66.42,0.0,3.13,261.6,1.72,0.8,0.47,86.65,245.17,247.26,3.15,59.35,34.22
2019,3,10,14,454.17,466.65,858.09,100.31,1.06,-4.52,-1.73,65.71,0.0,3.32,256.8,15.29,0.78,0.46,86.61,195.6,199.05,3.12,64.88,26.1
2019,3,10,15,291.92,318.65,671.02,108.61,0.43,-4.33,-1.95,69.85,0.0,3.47,251.1,39.35,0.69,0.4,86.59,124.18,133.68,3.17,72.14,15.36
2019,3,10,16,118.1,150.62,294.94,69.1,-2.02,-5.31,-3.67,78.78,0.0,3.72,249.4,60.38,0.52,0.5,86.59,49.3,60.26,2.93,80.55,6.18
2019,3,10,17,10.4,13.75,40.52,12.25,-4.92,-7.05,-5.98,87.3,0.0,4.41,254.4,77.72,0.32,0.45,86.61,3.75,4.38,2.54,88.64,0.57
2019,3,10,18,0.0,0.0,0.0,0.0,-6.14,-8.02,-7.08,89.32,0.0,5.0,258.7,99.3,-999.0,-999.0,86.61,0.0,0.0,2.34,90.0,0.0
2019,3,10,19,0.0,0.0,0.0,0.0,-6.75,-8.73,-7.74,88.48,0.0,5.44,258.9,99.39,-999.0,-999.0,86.57,0.0,0.0,2.2,90.0,0.0
2019,3,10,20,0.0,0.0,0.0,0.0,-6.78,-8.97,-7.88,87.05,0.0,5.89,259.5,83.23,-999.0,-999.0,86.52,0.0,0.0,2.16,90.0,0.0
2019,3,10,21,0.0,0.0,0.0,0.0,-5.91,-8.5,-7.2,84.07,0.0,6.25,259.9,98.83,-999.0,-999.0,86.47,0.0,0.0,2.25,90.0,0.0
2019,3,10,22,0.0,0.0,0.0,0.0,-5.28,-8.09,-6.69,82.42,0.0,6.57,261.2,99.48,-999.0,-999.0,86.43,0.0,0.0,2.33,90.0,0.0
2019,3,10,23,0.0,0.0,0.0,0.0,-5.75,-8.38,-7.07,83.58,0.01,6.65,262.4,99.41,-999.0,-999.0,86.4,0.0,0.0,2.27,90.0,0.0
2019,3,11,0,0.0,0.0,0.0,0.0,-6.48,-8.9,-7.69,85.08,0.9,6.87,263.7,100.0,-999.0,-999.0,86.39,0.0,0.0,2.17,90.0,0.0
2019,3,11,1,0.0,0.0,0.0,0.0,-6.47,-8.86,-7.66,85.37,0.9,6.79,263.3,85.01,-999.0,-999.0,86.36,0.0,0.0,2.18,90.0,0.0
2019,3,11,2,0.0,0.0,0.0,0.0,-6.1,-8.43,-7.26,85.67,0.9,6.39,261.9,71.07,-999.0,-999.0,86.31,0.0,0.0,2.26,90.0,0.0
2019,3,11,3,0.0,0.0,0.0,0.0,-5.93,-8.26,-7.1,85.9,0.03,6.06,262.9,81.24,-999.0,-999.0,86.3,0.0,0.0,2.3,90.0,0.0
2019,3,11,4,0.0,0.0,0.0,0.0,-5.87,-8.18,-7.02,85.84,0.02,5.63,264.6,93.02,-999.0,-999.0,86.31,0.0,0.0,2.31,90.0,0.0
2019,3,11,5,0.0,0.0,0.0,0.0,-5.42,-7.92,-6.67,84.7,0.02,5.38,263.8,94.21,-999.0,-999.0,86.28,0.0,0.0,2.37,90.0,0.0
2019,3,11,6,24.5,34.83,56.27,24.65,-4.56,-7.38,-5.97,82.31,0.01,5.23,262.1,92.85,0.33,0.48,86.24,10.99,12.52,2.48,86.88,1.47
2019,3,11,7,138.55,191.55,165.04,106.4,-3.14,-6.46,-4.8,78.81,0.0,5.55,258.8,87.16,0.49,0.45,86.19,64.81,80.42,2.68,78.06,8.62
2019,3,11,8,271.98,355.23,211.43,197.96,-1.52,-5.25,-3.39,75.92,0.0,5.93,256.9,86.85,0.57,0.44,86.12,126.33,153.78,2.96,69.86,17.41
2019,3,11,9,393.15,492.45,284.81,281.47,0.13,-4.41,-2.14,70.93,0.01,6.77,256.1,87.08,0.63,0.46,86.04,179.63,215.31,3.17,62.94,25.7
2019,3,11,10,459.85,589.88,440.2,215.37,1.13,-4.23,-1.55,66.95,0.07,7.47,253.4,70.25,0.63,0.46,85.94,212.9,259.23,3.22,57.92,31.02
2019,3,11,11,492.55,636.4,165.98,385.91,1.62,-4.08,-1.23,65.37,0.04,7.92,251.8,98.16,0.63,0.46,85.86,228.95,280.4,3.26,55.41,33.97
2019,3,11,12,502.77,632.62,364.12,303.94,1.86,-3.72,-0.93,65.97,0.02,7.9,251.9,78.2,0.65,0.52,85.78,235.47,279.68,3.35,55.79,35.11
2019,3,11,13,501.2,571.38,451.17,307.05,2.12,-3.36,-0.62,66.64,0.03,6.99,251.9,84.25,0.71,0.49,85.73,227.38,252.5,3.45,58.99,33.04
2019,3,11,14,402.58,464.02,395.01,260.17,2.05,-3.11,-0.53,68.32,0.04,5.43,250.3,84.35,0.68,0.49,85.72,182.0,205.0,3.52,64.55,25.68
2019,3,11,15,258.7,317.7,263.96,180.7,1.32,-3.07,-0.88,72.19,0.05,4.35,247.1,84.93,0.6,0.46,85.71,116.51,139.29,3.53,71.85,15.74
2019,3,11,16,59.67,151.07,30.47,50.37,-0.08,-3.54,-1.81,77.01,0.13,3.91,245.5,97.98,0.26,0.54,85.72,29.7,64.12,3.4,80.27,4.46
2019,3,11,17,9.25,14.8,24.57,11.65,-1.13,-4.43,-2.78,78.32,0.28,3.96,245.8,93.83,0.25,0.44,85.7,3.72,5.05,3.17,88.49,0.58
2019,3,11,18,0.0,0.0,0.0,0.0,-1.27,-5.02,-3.15,75.47,0.32,4.3,246.5,94.72,-999.0,-999.0,85.68,0.0,0.0,3.02,90.0,0.0
2019,3,11,19,0.0,0.0,0.0,0.0,-1.34,-5.54,-3.44,72.88,0.24,5.14,248.3,98.39,-999.0,-999.0,85.65,0.0,0.0,2.9,90.0,0.0
2019,3,11,20,0.0,0.0,0.0,0.0,-1.71,-6.03,-3.87,72.28,0.17,5.93,249.3,97.96,-999.0,-999.0,85.61,0.0,0.0,2.79,90.0,0.0
2019,3,11,21,0.0,0.0,0.0,0.0,-2.11,-6.35,-4.23,72.83,0.21,6.26,251.4,99.76,-999.0,-999.0,85.58,0.0,0.0,2.72,90.0,0.0
2019,3,11,22,0.0,0.0,0.0,0.0,-2.45,-6.51,-4.48,73.83,0.01,6.07,255.3,97.92,-999.0,-999.0,85.57,0.0,0.0,2.68,90.0,0.0
2019,3,11,23,0.0,0.0,0.0,0.0,-2.75,-6.62,-4.68,75.15,0.01,5.27,259.9,91.8,-999.0,-999.0,85.57,0.0,0.0,2.66,90.0,0.0
2019,3,12,0,0.0,0.0,0.0,0.0,-3.13,-6.86,-4.99,75.87,0.02,4.38,263.8,86.89,-999.0,-999.0,85.6,0.0,0.0,2.6,90.0,0.0
2019,3,12,1,0.0,0.0,0.0,0.0,-3.59,-7.04,-5.32,77.67,0.05,3.57,267.8,90.53,-999.0,-999.0,85.61,0.0,0.0,2.56,90.0,0.0
2019,3,12,2,0.0,0.0,0.0,0.0,-4.09,-7.03,-5.56,81.35,0.2,2.91,271.0,73.14,-999.0,-999.0,85.61,0.0,0.0,2.57,90.0,0.0
2019,3,12,3,0.0,0.0,0.0,0.0,-4.5,-6.93,-5.71,84.89,1.07,2.54,273.4,76.07,-999.0,-999.0,85.61,0.0,0.0,2.59,90.0,0.0
2019,3,12,4,0.0,0.0,0.0,0.0,-4.64,-6.92,-5.78,85.93,2.96,2.46,271.2,81.58,-999.0,-999.0,85.63,0.0,0.0,2.59,90.0,0.0
2019,3,12,5,0.0,0.0,0.0,0.0,-4.49,-6.73,-5.61,86.16,4.44,2.55,268.9,98.67,-999.0,-999.0,85.65,0.0,0.0,2.63,90.0,0.0
2019,3,12,6,16.67,41.6,17.39,16.76,-4.05,-6.37,-5.21,85.84,4.91,2.64,270.4,99.15,0.2,0.46,85.65,7.6,14.99,2.72,86.58,1.16
2019,3,12,7,55.5,204.8,19.27,48.05,-3.22,-5.74,-4.48,84.14,4.69,2.92,270.4,99.36,0.19,0.5,85.66,28.8,86.15,2.86,77.7,4.45
2019,3,12,8,120.97,371.02,10.93,101.89,-2.62,-5.11,-3.86,84.18,4.06,3.08,270.0,99.57,0.25,0.49,85.66,62.92,160.35,3.01,69.49,9.78
2019,3,12,9,183.23,508.55,5.19,154.45,-1.81,-4.35,-3.08,83.36,3.09,2.87,277.0,99.79,0.29,0.48,85.66,95.85,221.2,3.19,62.56,14.97
2019,3,12,10,220.9,604.47,0.17,192.31,-0.67,-3.85,-2.26,78.9,2.03,2.5,299.9,100.0,0.3,0.49,85.65,116.93,263.37,3.32,57.53,18.37
2019,3,12,11,261.3,650.75,84.16,202.33,0.16,-3.68,-1.76,74.87,1.86,2.02,339.1,96.51,0.33,0.47,85.63,135.1,283.32,3.37,55.02,21.04
2019,3,12,12,341.52,644.22,0.0,296.61,0.6,-3.74,-1.57,72.07,2.17,2.09,17.0,100.0,0.44,0.47,85.6,173.23,280.42,3.35,55.41,26.46
2019,3,12,13,309.12,584.03,66.84,248.24,0.58,-3.79,-1.6,71.95,2.95,2.3,41.1,97.16,0.43,0.46,85.59,153.27,253.99,3.34,58.64,23.16
2019,3,12,14,223.6,476.05,43.56,186.3,0.1,-3.88,-1.89,73.86,3.06,2.61,56.7,98.09,0.37,0.47,85.62,112.07,206.48,3.31,64.23,17.02
2019,3,12,15,148.95,330.05,22.26,127.87,-0.63,-3.83,-2.23,78.64,3.54,2.71,64.7,99.18,0.34,0.47,85.66,73.65,141.74,3.32,71.55,11.08
2019,3,12,16,80.9,160.9,45.89,70.58,-1.68,-3.84,-2.76,85.88,4.66,2.27,71.5,97.61,0.34,0.46,85.72,37.8,66.45,3.32,80.0,5.52
2019,3,12,17,9.57,17.85,6.48,10.19,-3.17,-4.51,-3.84,92.43,5.61,2.01,80.0,99.59,0.24,0.45,85.82,3.9,5.82,3.15,88.33,0.62
2019,3,12,18,0.0,0.0,0.0,0.0,-4.04,-5.04,-4.54,95.51,6.29,1.99,88.0,100.0,-999.0,-999.0,85.92,0.0,0.0,3.02,90.0,0.0
2019,3,12,19,0.0,0.0,0.0,0.0,-4.45,-5.21,-4.83,97.36,6.92,1.73,89.3,99.49,-999.0,-999.0,86.01,0.0,0.0,2.97,90.0,0.0
2019,3,12,20,0.0,0.0,0.0,0.0,-4.49,-5.16,-4.82,98.43,6.46,1.26,81.8,99.99,-999.0,-999.0,86.08,0.0,0.0,2.99,90.0,0.0
2019,3,12,21,0.0,0.0,0.0,0.0,-4.53,-5.2,-4.87,98.51,5.35,0.81,56.1,96.11,-999.0,-999.0,86.15,0.0,0.0,2.98,90.0,0.0
2019,3,12,22,0.0,0.0,0.0,0.0,-5.01,-5.49,-5.25,100.0,4.79,0.85,7.5,95.57,-999.0,-999.0,86.19,0.0,0.0,2.91,90.0,0.0
2019,3,12,23,0.0,0.0,0.0,0.0,-5.57,-6.0,-5.79,100.0,3.24,1.28,343.3,96.76,-999.0,-999.0,86.22,0.0,0.0,2.79,90.0,0.0
2019,3,13,0,0.0,0.0,0.0,0.0,-5.93,-6.4,-6.17,100.0,1.99,1.65,332.5,97.32,-999.0,-999.0,86.28,0.0,0.0,2.7,90.0,0.0
2019,3,13,1,0.0,0.0,0.0,0.0,-6.19,-6.78,-6.49,99.71,1.14,2.06,336.8,77.05,-999.0,-999.0,86.33,0.0,0.0,2.61,90.0,0.0
2019,3,13,2,0.0,0.0,0.0,0.0,-6.6,-7.33,-6.96,98.63,0.78,2.36,345.5,78.56,-999.0,-999.0,86.39,0.0,0.0,2.49,90.0,0.0
