-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 03/08/2019 through 11/08/2020 in LST
Location: Latitude  51.066   Longitude -114.0937 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1289.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,T2MDEW,WS10M,WD10M,PRECTOTCORR
2019,3,10,14,1.42,1.06,65.71,86.61,-4.52,3.32,256.8,0.0
2019,3,10,15,0.47,0.43,69.85,86.59,-4.33,3.47,251.1,0.0
2019,3,10,16,0.08,-2.02,78.78,86.59,-5.31,3.72,249.4,0.0
2019,3,10,17,0.0,-4.92,87.3,86.61,-7.05,4.41,254.4,0.0
2019,3,10,18,0.0,-6.14,89.32,86.61,-8.02,5.0,258.7,0.0
2019,3,10,19,0.0,-6.75,88.48,86.57,-8.73,5.44,258.9,0.0
2019,3,10,20,0.0,-6.78,87.05,86.52,-8.97,5.89,259.5,0.0
2019,3,10,21,0.0,-5.91,84.07,86.47,-8.5,6.25,259.9,0.0
2019,3,10,22,0.0,-5.28,82.42,86.43,-8.09,6.57,261.2,0.0
2019,3,10,23,0.0,-5.75,83.58,86.4,-8.38,6.65,262.4,0.01
2019,3,11,0,0.0,-6.48,85.08,86.39,-8.9,6.87,263.7,0.9
2019,3,11,1,0.0,-6.47,85.37,86.36,-8.86,6.79,263.3,0.9
2019,3,11,2,0.0,-6.1,85.67,86.31,-8.43,6.39,261.9,0.9
2019,3,11,3,0.0,-5.93,85.9,86.3,-8.26,6.06,262.9,0.03
2019,3,11,4,0.0,-5.87,85.84,86.31,-8.18,5.63,264.6,0.02
2019,3,11,5,0.0,-5.42,84.7,86.28,-7.92,5.38,263.8,0.02
2019,3,11,6,0.03,-4.56,82.31,86.24,-7.38,5.23,262.1,0.01
2019,3,11,7,0.15,-3.14,78.81,86.19,-6.46,5.55,258.8,0.0
2019,3,11,8,0.7,-1.52,75.92,86.12,-5.25,5.93,256.9,0.0
2019,3,11,9,1.6,0.13,70.93,86.04,-4.41,6.77,256.1,0.01
2019,3,11,10,2.38,1.13,66.95,85.94,-4.23,7.47,253.4,0.07
2019,3,11,11,2.88,1.62,65.37,85.86,-4.08,7.92,251.8,0.04
2019,3,11,12,2.92,1.86,65.97,85.78,-3.72,7.9,251.9,0.02
2019,3,11,13,2.53,2.12,66.64,85.73,-3.36,6.99,251.9,0.03
2019,3,11,14,1.52,2.05,68.32,85.72,-3.11,5.43,250.3,0.04
2019,3,11,15,0.57,1.32,72.19,85.71,-3.07,4.35,247.1,0.05
2019,3,11,16,0.08,-0.08,77.01,85.72,-3.54,3.91,245.5,0.13
2019,3,11,17,0.0,-1.13,78.32,85.7,-4.43,3.96,245.8,0.28
2019,3,11,18,0.0,-1.27,75.47,85.68,-5.02,4.3,246.5,0.32
2019,3,11,19,0.0,-1.34,72.88,85.65,-5.54,5.14,248.3,0.24
2019,3,11,20,0.0,-1.71,72.28,85.61,-6.03,5.93,249.3,0.17
2019,3,11,21,0.0,-2.11,72.83,85.58,-6.35,6.26,251.4,0.21
2019,3,11,22,0.0,-2.45,73.83,85.57,-6.51,6.07,255.3,0.01
2019,3,11,23,0.0,-2.75,75.15,85.57,-6.62,5.27,259.9,0.01
2019,3,12,0,0.0,-3.13,75.87,85.6,-6.86,4.38,263.8,0.02
2019,3,12,1,0.0,-3.59,77.67,85.61,-7.04,3.57,267.8,0.05
2019,3,12,2,0.0,-4.09,81.35,85.61,-7.03,2.91,271.0,0.2
2019,3,12,3,0.0,-4.5,84.89,85.61,-6.93,2.54,273.4,1.07
2019,3,12,4,0.0,-4.64,85.93,85.63,-6.92,2.46,271.2,2.96
2019,3,12,5,0.0,-4.49,86.16,85.65,-6.73,2.55,268.9,4.44
2019,3,12,6,0.03,-4.05,85.84,85.65,-6.37,2.64,270.4,4.91
2019,3,12,7,0.1,-3.22,84.14,85.66,-5.74,2.92,270.4,4.69
2019,3,12,8,0.45,-2.62,84.18,85.66,-5.11,3.08,270.0,4.06
2019,3,12,9,1.02,-1.81,83.36,85.66,-4.35,2.87,277.0,3.09
2019,3,12,10,1.55,-0.67,78.9,85.65,-3.85,2.5,299.9,2.03
2019,3,12,11,1.88,0.16,74.87,85.63,-3.68,2.02,339.1,1.86
2019,3,12,12,2.33,0.6,72.07,85.6,-3.74,2.09,17.0,2.17
2019,3,12,13,1.83,0.58,71.95,85.59,-3.79,2.3,41.1,2.95
2019,3,12,14,1.05,0.1,73.86,85.62,-3.88,2.61,56.7,3.06
2019,3,12,15,0.4,-0.63,78.64,85.66,-3.83,2.71,64.7,3.54
2019,3,12,16,0.08,-1.68,85.88,85.72,-3.84,2.27,71.5,4.66
2019,3,12,17,0.0,-3.17,92.43,85.82,-4.51,2.01,80.0,5.61
2019,3,12,18,0.0,-4.04,95.51,85.92,-5.04,1.99,88.0,6.29
2019,3,12,19,0.0,-4.45,97.36,86.01,-5.21,1.73,89.3,6.92
2019,3,12,20,0.0,-4.49,98.43,86.08,-5.16,1.26,81.8,6.46
2019,3,12,21,0.0,-4.53,98.51,86.15,-5.2,0.81,56.1,5.35
2019,3,12,22,0.0,-5.01,100.0,86.19,-5.49,0.85,7.5,4.79
2019,3,12,23,0.0,-5.57,100.0,86.22,-6.0,1.28,343.3,3.24
2019,3,13,0,0.0,-5.93,100.0,86.28,-6.4,1.65,332.5,1.99
2019,3,13,1,0.0,-6.19,99.71,86.33,-6.78,2.06,336.8,1.14
2019,3,13,2,0.0,-6.6,98.63,86.39,-7.33,2.36,345.5,0.78
2019,3,13,3,0.0,-7.22,98.32,86.47,-8.03,2.38,349.6,0.51
2019,3,13,4,0.0,-8.01,98.71,86.55,-8.8,2.28,348.1,0.33
2019,3,13,5,0.0,-8.33,97.47,86.63,-9.19,2.15,343.0,0.24
2019,3,13,6,0.03,-7.54,92.78,86.72,-8.98,2.04,340.9,0.3
2019,3,13,7,0.15,-4.94,85.23,86.8,-7.37,1.7,347.4,0.38
2019,3,13,8,0.77,-2.67,78.35,86.88,-6.03,1.77,19.2,0.66
2019,3,13,9,1.9,-1.76,73.45,86.95,-5.91,1.29,36.8,0.88
2019,3,13,10,2.58,-1.24,68.1,87.0,-6.27,0.66,67.7,0.82
2019,3,13,11,3.2,-0.88,66.12,87.03,-6.28,0.58,133.6,0.97
2019,3,13,12,3.08,-0.47,65.59,87.05,-6.0,0.88,164.9,0.82
2019,3,13,13,2.53,-0.22,65.89,87.06,-5.69,1.19,170.3,0.64
2019,3,13,14,1.48,-0.11,68.06,87.07,-5.13,1.34,172.3,0.51
2019,3,13,15,0.57,-0.2,71.37,87.09,-4.62,1.52,168.6,0.44
2019,3,13,16,0.1,-1.25,80.41,87.12,-4.24,1.5,161.3,0.65
2019,3,13,17,0.03,-3.54,87.34,87.16,-5.59,1.89,175.1,0.74
2019,3,13,18,0.0,-4.53,89.37,87.21,-6.44,2.14,200.0,0.8
2019,3,13,19,0.0,-4.99,90.91,87.25,-6.75,2.31,231.8,0.63
2019,3,13,20,0.0,-5.17,88.83,87.3,-7.23,2.92,260.3,0.25
2019,3,13,21,0.0,-5.52,85.76,87.35,-8.03,3.61,278.6,0.06
2019,3,13,22,0.0,-6.23,83.08,87.4,-9.08,4.13,291.0,0.08
2019,3,13,23,0.0,-7.7,82.08,87.44,-10.69,4.1,295.3,0.03
2019,3,14,0,0.0,-9.49,81.66,87.49,-12.42,4.06,288.7,0.02
2019,3,14,1,0.0,-10.58,81.45,87.52,-13.47,4.1,284.0,0.01
2019,3,14,2,0.0,-11.18,81.14,87.53,-14.08,4.06,278.9,0.01
2019,3,14,3,0.0,-11.64,81.45,87.54,-14.51,4.16,272.3,0.01
2019,3,14,4,0.0,-12.0,80.91,87.56,-14.86,4.23,266.9,0.01
2019,3,14,5,0.0,-12.26,80.19,87.56,-15.22,4.1,263.7,0.01
2019,3,14,6,0.03,-11.11,74.1,87.57,-14.93,4.04,261.2,0.0
2019,3,14,7,0.2,-7.06,66.47,87.56,-12.27,3.81,256.9,0.0
2019,3,14,8,0.82,-3.92,64.8,87.56,-9.56,3.37,250.6,0.0
2019,3,14,9,1.9,-0.81,54.59,87.55,-8.57,2.96,243.1,0.0
2019,3,14,10,2.83,0.24,51.96,87.51,-8.15,2.99,250.0,0.0
2019,3,14,11,3.33,0.94,51.73,87.48,-7.63,3.09,259.0,0.01
2019,3,14,12,3.25,1.3,52.06,87.45,-7.22,3.43,266.3,0.03
2019,3,14,13,2.47,1.32,54.05,87.42,-6.74,3.82,269.5,0.06
2019,3,14,14,1.52,1.08,57.73,87.39,-6.13,4.14,269.0,0.08
2019,3,14,15,0.62,0.35,63.07,87.36,-5.67,4.23,265.9,0.06
2019,3,14,16,0.12,-1.36,72.38,87.33,-5.63,3.62,259.3,0.09
2019,3,14,17,0.03,-4.15,83.38,87.3,-6.78,3.42,255.1,0.06
2019,3,14,18,0.0,-5.5,86.99,87.26,-7.65,3.73,255.1,0.03
2019,3,14,19,0.0,-5.94,87.28,87.23,-8.05,4.02,258.2,0.02
2019,3,14,20,0.0,-5.57,84.9,87.21,-8.02,4.48,262.6,0.02
2019,3,14,21,0.0,-4.71,82.61,87.21,-7.46,4.87,266.4,0.02
2019,3,14,22,0.0,-4.84,83.88,87.22,-7.42,5.02,268.1,0.0
2019,3,14,23,0.0,-4.69,82.15,87.24,-7.48,5.57,269.0,0.01
2019,3,15,0,0.0,-4.79,82.88,87.26,-7.52,5.46,268.6,0.01
2019,3,15,1,0.0,-5.21,84.87,87.28,-7.67,5.12,267.0,0.01
2019,3,15,2,0.0,-5.56,85.65,87.31,-7.88,5.06,266.9,0.01
2019,3,15,3,0.0,-5.79,86.27,87.34,-8.07,4.86,266.6,0.01
2019,3,15,4,0.0,-6.04,86.27,87.36,-8.28,4.58,266.7,0.01
2019,3,15,5,0.0,-6.42,86.81,87.39,-8.57,4.17,268.2,0.07
2019,3,15,6,0.03,-5.29,82.03,87.44,-8.15,4.14,274.7,0.24
2019,3,15,7,0.22,-3.12,76.89,87.49,-6.73,4.07,280.2,0.32
2019,3,15,8,0.95,-0.85,71.51,87.53,-5.27,3.8,287.1,0.17
2019,3,15,9,2.03,0.85,66.35,87.54,-4.6,3.71,298.7,0.24
2019,3,15,10,3.05,1.55,62.89,87.55,-4.61,3.59,300.6,0.42
2019,3,15,11,3.62,2.03,59.77,87.54,-4.84,3.57,297.5,0.27
2019,3,15,12,3.4,2.37,56.97,87.53,-5.1,3.58,295.5,0.09
2019,3,15,13,2.53,2.65,54.89,87.51,-5.31,3.43,294.3,0.02
2019,3,15,14,1.45,2.66,54.47,87.51,-5.43,3.12,290.6,0.01
2019,3,15,15,0.55,2.21,56.64,87.51,-5.34,2.71,282.1,0.01
2019,3,15,16,0.1,0.18,73.71,87.53,-3.85,1.92,267.0,0.0
2019,3,15,17,0.03,-3.18,81.52,87.55,-6.08,2.49,258.0,0.0
2019,3,15,18,0.0,-5.0,89.59,87.58,-6.82,2.94,260.8,0.01
2019,3,15,19,0.0,-5.23,88.53,87.6,-7.16,3.63,266.8,0.01
2019,3,15,20,0.0,-5.31,86.64,87.61,-7.5,3.97,269.7,0.01
2019,3,15,21,0.0,-5.85,87.37,87.62,-7.95,4.01,269.3,0.01
2019,3,15,22,0.0,-6.23,87.16,87.61,-8.35,4.09,267.8,0.28
2019,3,15,23,0.0,-6.51,86.91,87.61,-8.69,4.13,266.1,0.14
2019,3,16,0,0.0,-6.88,86.86,87.61,-9.06,4.06,264.5,0.07
2019,3,16,1,0.0,-7.16,86.05,87.61,-9.43,4.12,265.5,0.02
2019,3,16,2,0.0,-7.35,84.91,87.61,-9.76,4.17,266.1,0.01
2019,3,16,3,0.0,-7.56,84.73,87.61,-10.03,4.11,266.7,0.01
2019,3,16,4,0.0,-7.81,84.81,87.6,-10.26,3.95,268.6,0.01
2019,3,16,5,0.0,-7.95,84.5,87.6,-10.45,3.94,269.6,0.01
2019,3,16,6,0.03,-6.69,78.16,87.61,-10.06,4.15,270.4,0.01
2019,3,16,7,0.2,-3.75,69.57,87.61,-8.52,3.96,270.3,0.01
2019,3,16,8,0.88,-0.51,62.64,87.62,-6.57,2.79,271.8,0.0
2019,3,16,9,1.98,3.09,47.92,87.6,-6.67,1.9,283.4,0.0
2019,3,16,10,2.75,4.96,42.82,87.59,-6.45,1.93,295.1,0.0
2019,3,16,11,3.17,5.87,42.01,87.58,-5.94,2.22,299.5,0.0
2019,3,16,12,2.95,6.24,42.12,87.57,-5.57,2.44,299.7,0.0
2019,3,16,13,2.55,6.25,42.96,87.55,-5.29,2.5,296.9,0.0
2019,3,16,14,1.58,5.96,45.63,87.54,-4.79,2.36,293.0,0.0
2019,3,16,15,0.65,4.95,62.16,87.53,-1.72,1.5,287.5,0.0
2019,3,16,16,0.12,3.24,63.01,87.53,-3.15,1.24,272.3,0.0
2019,3,16,17,0.03,0.84,65.32,87.54,-4.82,1.63,251.8,0.0
2019,3,16,18,0.0,-1.4,78.5,87.58,-4.69,2.46,251.3,0.01
2019,3,16,19,0.0,-2.87,89.38,87.6,-4.61,2.79,256.1,0.01
2019,3,16,20,0.0,-3.03,88.83,87.61,-4.83,3.08,261.6,0.01
2019,3,16,21,0.0,-3.43,89.13,87.62,-5.24,3.42,265.6,0.03
2019,3,16,22,0.0,-4.14,91.08,87.62,-5.71,3.69,267.4,0.0
2019,3,16,23,0.0,-4.58,90.84,87.61,-6.19,3.97,266.1,0.0
2019,3,17,0,0.0,-4.83,89.02,87.62,-6.73,4.1,264.3,0.0
2019,3,17,1,0.0,-4.87,84.84,87.63,-7.33,4.23,265.8,0.0
2019,3,17,2,0.0,-4.78,80.08,87.64,-7.88,4.23,267.6,0.0
2019,3,17,3,0.0,-4.77,77.27,87.64,-8.33,4.27,269.2,0.0
2019,3,17,4,0.0,-4.76,74.83,87.67,-8.68,4.39,273.1,0.0
2019,3,17,5,0.0,-4.58,72.03,87.7,-8.93,4.41,279.4,0.0
2019,3,17,6,0.03,-2.95,63.95,87.74,-8.74,4.4,288.3,0.0
2019,3,17,7,0.25,0.16,54.48,87.8,-7.61,4.14,294.4,0.0
2019,3,17,8,1.0,3.02,50.33,87.84,-6.1,3.37,308.1,0.0
2019,3,17,9,2.12,5.08,48.04,87.85,-4.89,3.12,330.6,0.0
2019,3,17,10,3.12,6.22,45.87,87.85,-4.48,3.02,337.8,0.0
2019,3,17,11,3.47,6.96,44.71,87.83,-4.16,2.82,334.3,0.0
2019,3,17,12,3.3,7.32,44.84,87.81,-3.81,2.69,328.1,0.0
2019,3,17,13,2.6,7.57,44.88,87.79,-3.6,2.38,317.0,0.0
2019,3,17,14,1.55,7.74,45.28,87.77,-3.33,1.99,297.2,0.0
2019,3,17,15,0.57,7.12,58.5,87.75,-0.56,1.45,267.6,0.0
2019,3,17,16,0.1,4.2,71.63,87.75,-0.49,2.16,243.7,0.0
2019,3,17,17,0.03,0.3,81.81,87.76,-2.42,3.14,253.2,0.0
2019,3,17,18,0.0,-1.22,91.77,87.79,-2.51,3.44,267.8,0.0
2019,3,17,19,0.0,-1.24,89.4,87.82,-2.85,3.53,283.8,0.0
2019,3,17,20,0.0,-1.1,85.11,87.84,-3.36,3.66,297.5,0.0
2019,3,17,21,0.0,-1.44,85.0,87.88,-3.78,3.72,304.4,0.0
2019,3,17,22,0.0,-2.01,86.73,87.92,-4.16,3.61,299.2,0.0
2019,3,17,23,0.0,-2.07,83.88,87.92,-4.63,3.63,285.3,0.0
2019,3,18,0,0.0,-1.99,78.68,87.9,-5.34,3.74,276.8,0.0
2019,3,18,1,0.0,-1.89,74.22,87.86,-5.98,3.88,273.3,0.0
2019,3,18,2,0.0,-1.97,71.97,87.81,-6.43,3.98,272.2,0.0
2019,3,18,3,0.0,-2.06,70.57,87.78,-6.79,4.12,274.5,0.0
2019,3,18,4,0.0,-2.03,68.49,87.78,-7.06,4.08,278.7,0.0
2019,3,18,5,0.0,-2.01,66.47,87.77,-7.39,3.87,283.7,0.0
2019,3,18,6,0.03,-0.03,57.33,87.78,-7.17,3.8,290.3,0.0
2019,3,18,7,0.2,3.47,48.19,87.8,-6.22,3.87,293.1,0.0
2019,3,18,8,0.82,6.1,42.95,87.82,-5.44,3.46,294.9,0.0
2019,3,18,9,1.83,8.06,37.29,87.84,-5.58,3.43,316.1,0.0
2019,3,18,10,2.6,9.21,32.92,87.83,-6.16,3.75,313.1,0.0
2019,3,18,11,2.97,10.23,30.06,87.81,-6.49,3.95,313.3,0.0
2019,3,18,12,2.85,10.85,28.18,87.78,-6.74,4.03,319.0,0.0
2019,3,18,13,2.47,11.18,28.2,87.76,-6.43,3.61,324.2,0.0
2019,3,18,14,1.5,11.11,31.08,87.73,-5.27,2.99,327.9,0.0
2019,3,18,15,0.62,9.86,52.47,87.72,0.33,1.49,321.5,0.0
2019,3,18,16,0.15,7.37,58.96,87.69,-0.2,1.54,293.7,0.0
2019,3,18,17,0.03,4.18,57.89,87.7,-3.3,2.28,275.0,0.0
2019,3,18,18,0.0,2.25,64.04,87.73,-3.76,2.8,278.4,0.0
2019,3,18,19,0.0,1.41,67.62,87.75,-3.84,3.0,292.1,0.0
2019,3,18,20,0.0,1.07,68.68,87.79,-3.91,3.07,305.2,0.0
2019,3,18,21,0.0,1.12,68.47,87.83,-3.92,3.05,313.3,0.0
2019,3,18,22,0.0,1.38,67.85,87.86,-3.83,3.0,309.9,0.0
2019,3,18,23,0.0,1.0,71.02,87.87,-3.56,3.19,295.0,0.0
2019,3,19,0,0.0,0.43,77.56,87.86,-2.99,3.33,283.7,0.0
2019,3,19,1,0.0,0.11,80.96,87.83,-2.73,3.44,278.4,0.0
2019,3,19,2,0.0,-0.07,83.67,87.79,-2.46,3.58,274.0,0.0
2019,3,19,3,0.0,-0.16,85.66,87.76,-2.25,3.62,270.5,0.0
2019,3,19,4,0.0,-0.25,86.49,87.72,-2.25,3.65,269.2,0.0
2019,3,19,5,0.0,-0.26,85.82,87.68,-2.35,3.66,269.4,0.0
2019,3,19,6,0.05,2.4,75.86,87.65,-1.43,3.55,269.8,0.0
2019,3,19,7,0.25,6.62,61.18,87.63,-0.3,4.04,269.6,0.0
2019,3,19,8,0.98,9.12,54.98,87.64,0.56,3.87,267.2,0.0
2019,3,19,9,1.95,12.29,44.61,87.64,0.58,3.12,278.5,0.0
2019,3,19,10,3.08,14.72,33.22,87.63,-1.28,2.84,306.0,0.0
2019,3,19,11,3.42,15.91,28.84,87.62,-2.12,2.61,324.1,0.0
2019,3,19,12,3.47,16.56,26.92,87.61,-2.51,2.27,339.3,0.0
2019,3,19,13,2.65,16.7,26.45,87.58,-2.63,1.92,356.1,0.0
2019,3,19,14,1.58,16.3,27.8,87.56,-2.3,1.59,14.2,0.0
2019,3,19,15,0.68,15.15,36.83,87.54,0.39,1.05,36.1,0.0
2019,3,19,16,0.15,12.41,50.22,87.52,2.3,0.75,68.9,0.0
2019,3,19,17,0.03,10.32,42.52,87.53,-1.86,0.49,151.9,0.0
2019,3,19,18,0.0,7.96,47.51,87.54,-2.45,1.44,232.3,0.0
2019,3,19,19,0.0,4.54,60.83,87.55,-2.31,2.6,256.2,0.0
2019,3,19,20,0.0,1.97,72.36,87.54,-2.44,3.08,268.1,0.0
2019,3,19,21,0.0,1.16,73.73,87.53,-2.95,3.23,273.7,0.0
2019,3,19,22,0.0,0.8,72.42,87.52,-3.52,3.39,274.9,0.0
2019,3,19,23,0.0,0.6,70.82,87.5,-4.0,3.42,273.0,0.0
2019,3,20,0,0.0,0.52,69.23,87.49,-4.32,3.35,268.8,0.0
2019,3,20,1,0.0,0.44,68.29,87.48,-4.57,3.34,263.3,0.0
2019,3,20,2,0.0,0.48,67.42,87.46,-4.73,3.29,257.9,0.0
2019,3,20,3,0.0,0.57,66.3,87.44,-4.85,3.24,253.5,0.0
2019,3,20,4,0.0,0.88,63.75,87.42,-5.04,3.35,250.6,0.0
2019,3,20,5,0.0,0.78,63.98,87.4,-5.11,3.33,248.7,0.0
2019,3,20,6,0.05,2.87,65.33,87.39,-2.97,2.98,247.1,0.0
2019,3,20,7,0.3,7.78,56.47,87.39,-0.36,2.48,245.5,0.0
2019,3,20,8,1.05,11.17,39.37,87.38,-2.1,2.8,236.9,0.0
2019,3,20,9,2.17,14.32,31.85,87.36,-2.17,2.35,215.3,0.0
2019,3,20,10,2.9,17.04,23.58,87.33,-3.81,2.24,198.8,0.0
2019,3,20,11,3.15,18.33,20.73,87.3,-4.41,1.99,185.2,0.0
2019,3,20,12,3.08,18.95,19.62,87.27,-4.59,1.73,179.0,0.0
2019,3,20,13,2.47,18.98,19.76,87.24,-4.5,1.4,178.4,0.0
2019,3,20,14,1.55,18.44,21.49,87.21,-3.91,0.99,178.8,0.0
